which,seed,N,SAMPLE_T,R,alpha,FDA,BIAS,TARGET,KAPPA,GAMMA,DT,RESET,ISI,TAU_M,TAU_E,loss_plateau,loss_std,frozen_acc,align_all,align_std,corr_W1,corr_W2,corr_W3,bias_W1,bias_W2,bias_W3,snr_W1,snr_W2,snr_W3,eff_W1,eff_W2,eff_W3,sign_W1,sign_W2,sign_W3,align_W1,align_W2,align_W3,ratio_W1,ratio_W2,ratio_W3
shared,0,1000,1.0,200.0,1.5e-08,3000.0,30.0,3000.0,1.0,0.0,0.02,0,50,0.5,0.2,0.0490,0.0019,0.4040,+0.255,0.355,-0.008,+0.018,+0.015,0.623,188.113,0.613,0.072,0.065,0.051,0.009,0.020,0.018,0.337,0.457,0.406,+0.088,+0.285,+0.392,0.000,0.000,0.000
shared,0,1000,1.0,200.0,1.5e-08,3000.0,30.0,5000.0,1.0,0.0,0.02,0,50,0.5,0.2,0.0494,0.0012,0.6480,+0.238,0.400,-0.003,+0.010,+0.026,0.253,1.743,0.479,0.131,0.040,0.029,0.017,0.011,0.009,0.163,0.497,0.491,+0.078,+0.275,+0.361,0.000,0.000,0.000
shared,0,1000,1.0,200.0,1.5e-08,3000.0,30.0,5000.0,0.2,0.0,0.02,0,50,0.5,0.2,0.0493,0.0013,0.4140,+0.764,0.214,-0.005,+0.009,+0.033,0.340,1.398,0.366,0.115,0.044,0.035,0.150,0.104,0.073,0.221,0.628,0.594,+0.665,+0.780,+0.847,0.000,0.000,0.000
shared,0,1000,1.0,200.0,1.5e-08,3000.0,30.0,7000.0,1.0,0.0,0.02,0,50,0.5,0.2,0.0489,0.0019,0.3720,+0.281,0.441,-0.001,+0.014,+0.037,0.309,0.617,0.693,0.202,0.033,0.022,0.025,0.008,0.006,0.173,0.555,0.487,+0.115,+0.323,+0.404,0.000,0.000,0.000
shared,0,1000,1.0,200.0,1.5e-08,3000.0,30.0,5000.0,1.0,0.0,0.02,0,0,0.5,0.2,0.0136,0.0156,0.5400,+0.166,0.366,-0.002,+0.009,+0.012,7.049,0.907,0.553,0.117,0.038,0.022,0.013,0.009,0.007,0.144,0.502,0.381,+0.006,+0.173,+0.320,0.000,0.000,0.000
shared,0,1000,1.0,200.0,1.5e-08,3000.0,30.0,5000.0,1.0,0.0,0.02,0,50,1.0,0.2,0.0496,0.0012,0.6960,+0.206,0.397,-0.007,+0.012,+0.029,0.725,29.520,0.608,0.132,0.044,0.030,0.015,0.011,0.008,0.202,0.500,0.497,+0.039,+0.238,+0.340,0.000,0.000,0.000
shared,0,1000,1.0,200.0,1.5e-08,3000.0,30.0,5000.0,1.0,0.0,0.02,0,100,0.5,0.2,0.0492,0.0014,0.2100,+0.238,0.397,-0.006,+0.010,+0.022,0.463,2.678,0.542,0.132,0.040,0.030,0.018,0.011,0.009,0.173,0.507,0.491,+0.080,+0.273,+0.361,0.000,0.000,0.000
shared,0,1000,1.0,200.0,1.5e-08,3000.0,30.0,1000.0,0.2,0.0,0.02,1,0,0.0,0.2,0.0505,0.0143,0.1840,+0.794,0.145,-0.005,-0.001,-0.001,1.426,0.143,0.014,0.144,0.095,0.111,0.373,0.533,0.493,0.894,0.780,0.676,+0.712,+0.782,+0.889,0.000,0.000,0.000
shared,0,1000,1.0,200.0,1.5e-08,3000.0,30.0,1000.0,0.2,0.0,0.02,0,0,0.0,0.2,0.0547,0.0138,0.1340,+0.281,0.253,+0.004,+0.001,+0.005,3.686,0.052,0.063,0.122,0.122,0.156,0.074,0.178,0.208,0.779,0.429,0.261,+0.187,+0.255,+0.402,0.000,0.000,0.000
shared,0,1000,1.0,200.0,1.5e-08,3000.0,30.0,5000.0,1.0,0.0,0.02,0,50,1.0,0.5,0.0492,0.0021,0.5560,+0.220,0.421,-0.005,+0.013,+0.032,0.627,1.102,0.718,0.109,0.032,0.018,0.008,0.005,0.003,0.202,0.524,0.450,+0.073,+0.241,+0.346,0.000,0.000,0.000
