which,seed,N,SAMPLE_T,R,alpha,FDA,BIAS,TARGET,KAPPA,GAMMA,DT,loss_plateau,loss_std,frozen_acc,align_all,align_std,corr_W1,corr_W2,corr_W3,bias_W1,bias_W2,bias_W3,snr_W1,snr_W2,snr_W3,eff_W1,eff_W2,eff_W3,sign_W1,sign_W2,sign_W3,align_W1,align_W2,align_W3,ratio_W1,ratio_W2,ratio_W3
stride,0,1000,1.0,200.0,1e-07,3000.0,30.0,1000.0,0,0,0.02,0.0450,0.0103,0.1880,+0.261,0.221,-0.003,+0.002,+0.018,0.171,0.063,2.232,0.058,0.059,0.062,0.081,0.082,0.100,0.564,0.467,0.476,+0.152,+0.181,+0.449,0.000,0.000,0.000
stride,0,1000,1.0,200.0,2e-07,3000.0,30.0,1000.0,0,0,0.02,0.0415,0.0123,0.2040,+0.216,0.228,-0.006,+0.002,+0.004,0.534,0.112,0.646,0.047,0.047,0.040,0.062,0.060,0.066,0.543,0.446,0.474,+0.099,+0.119,+0.428,0.000,0.000,0.000
stride,0,1000,1.0,200.0,1e-07,3000.0,30.0,500.0,0,0,0.02,0.0521,0.0136,0.1300,+0.149,0.189,+0.001,-0.000,+0.052,0.087,0.001,3.644,0.057,0.063,0.085,0.061,0.065,0.075,0.570,0.463,0.512,+0.089,+0.106,+0.253,0.000,0.000,0.000
stride,0,400,4.0,200.0,1e-07,3000.0,30.0,1000.0,0,0,0.02,0.0444,0.0128,0.1560,+0.272,0.251,+0.002,-0.002,+0.004,0.160,0.168,0.243,0.065,0.062,0.048,0.068,0.068,0.074,0.566,0.463,0.478,+0.164,+0.198,+0.454,0.000,0.000,0.000
stride,0,1000,1.0,200.0,1e-06,3000.0,30.0,1000.0,0,0,0.02,0.0323,0.0193,0.1420,+0.252,0.290,-0.009,+0.005,+0.002,0.855,0.467,0.176,0.032,0.030,0.007,0.056,0.049,0.016,0.521,0.422,0.463,+0.089,+0.106,+0.561,0.000,0.000,0.000
stride,0,1000,1.0,400.0,1e-07,3000.0,30.0,1000.0,0,0,0.02,0.0499,0.0021,0.1040,+0.072,0.166,+0.000,+0.000,+0.000,0.000,0.000,0.001,0.041,0.042,0.047,0.027,0.027,0.032,0.559,0.474,0.451,+0.044,+0.053,+0.120,0.000,0.000,0.000
shared,0,1000,1.0,200.0,3e-08,3000.0,30.0,1000.0,0,0,0.02,0.0491,0.0099,0.0860,+0.232,0.231,+0.007,+0.003,+0.001,0.695,0.151,0.027,0.108,0.084,0.123,0.075,0.149,0.203,0.788,0.436,0.306,+0.146,+0.191,+0.359,0.000,0.000,0.000
shared,0,400,4.0,200.0,1e-08,3000.0,30.0,500.0,0,0,0.02,0.0650,0.0309,0.0960,+0.218,0.266,+0.015,+0.004,-0.000,1.490,0.315,0.002,0.261,0.110,0.132,0.159,0.139,0.156,0.808,0.469,0.340,+0.188,+0.175,+0.291,0.000,0.000,0.000
stride,0,1000,1.0,200.0,5e-07,3000.0,30.0,1000.0,0,0,0.02,0.0388,0.0119,0.0980,+0.189,0.262,+0.010,+0.005,+0.005,0.775,0.409,1.017,0.035,0.034,0.018,0.051,0.048,0.033,0.535,0.446,0.495,+0.047,+0.061,+0.459,0.000,0.000,0.000
stride,0,1000,1.0,200.0,2e-07,3000.0,30.0,2000.0,0,0,0.02,0.0348,0.0146,0.1700,+0.338,0.288,-0.019,+0.001,+0.003,2.780,2.094,0.278,0.046,0.045,0.014,0.083,0.080,0.049,0.538,0.436,0.480,+0.167,+0.191,+0.656,0.000,0.000,0.000
shared,0,1000,1.0,200.0,1.5e-08,3000.0,30.0,1000.0,0.2,0,0.02,0.0547,0.0138,0.1340,+0.281,0.253,+0.004,+0.001,+0.005,3.686,0.052,0.063,0.122,0.122,0.156,0.074,0.178,0.208,0.779,0.429,0.261,+0.187,+0.255,+0.402,0.000,0.000,0.000
shared,0,1000,1.0,200.0,1e-08,3000.0,30.0,1000.0,0.2,0,0.02,0.0556,0.0117,0.0980,+0.313,0.248,-0.003,+0.002,+0.004,4.008,0.098,0.044,0.162,0.122,0.161,0.107,0.189,0.224,0.856,0.433,0.261,+0.237,+0.283,+0.419,0.000,0.000,0.000
shared,0,1000,1.0,200.0,1.5e-08,3000.0,30.0,1000.0,0,0,0.02,0.0515,0.0074,0.1000,+0.287,0.244,-0.002,-0.002,+0.002,0.135,0.271,0.029,0.169,0.100,0.137,0.132,0.195,0.248,0.798,0.446,0.276,+0.203,+0.249,+0.408,0.000,0.000,0.000
shared,0,1000,1.0,200.0,2e-08,3000.0,30.0,1000.0,0.2,0,0.02,0.0578,0.0193,0.1580,+0.253,0.262,+0.009,+0.005,+0.004,8.342,0.164,0.064,0.089,0.114,0.153,0.046,0.145,0.184,0.740,0.409,0.261,+0.155,+0.229,+0.376,0.000,0.000,0.000
shared,0,3000,1.0,200.0,3e-08,3000.0,30.0,1000.0,0,0,0.02,0.0483,0.0050,0.1320,+0.166,0.204,+0.002,+0.000,+0.007,1.186,0.041,0.086,0.055,0.055,0.094,0.029,0.076,0.117,0.788,0.422,0.288,+0.076,+0.119,+0.304,0.000,0.000,0.000
shared,0,3000,1.0,200.0,3e-08,3000.0,30.0,1000.0,0.2,0,0.02,0.0500,0.0120,0.1380,+0.176,0.274,+0.003,+0.008,+0.008,0.561,1.656,0.208,0.040,0.066,0.078,0.011,0.055,0.066,0.750,0.400,0.200,+0.066,+0.138,+0.324,0.000,0.000,0.000
shared,0,1000,1.0,200.0,1.5e-08,3000.0,30.0,1000.0,0.4,0.0,0.02,0.0600,0.0185,0.1260,+0.241,0.279,-0.007,+0.000,+0.003,1.176,0.002,0.046,0.078,0.127,0.162,0.032,0.128,0.157,0.654,0.405,0.264,+0.145,+0.226,+0.352,0.000,0.000,0.000
shared,0,3000,1.0,200.0,1.5e-08,3000.0,30.0,1000.0,0.0,0.0,0.02,0.0479,0.0085,0.1480,+0.212,0.222,+0.016,+0.002,+0.005,1.128,0.149,0.062,0.090,0.066,0.108,0.059,0.117,0.174,0.750,0.428,0.300,+0.115,+0.171,+0.350,0.000,0.000,0.000
