R,mode,dT,sim_time_s,corr_W1_all,corr_W2_all,corr_W3_all,cov_W3_all,corr_W1_fin,corr_W2_fin,corr_W3_fin,corr_W3_f25,corr_W3_l75,loss_last300,loss_last500,loss_min_roll,acc_last500,p_sign_last500,norm_loss
100,scaled,0.5,1000,0.0355,0.0026,0.0724,18.8394,0.0442,-0.0133,0.1196,0.1025,0.1245,0.1560,0.1538,0.1291,0.5040,0.3931,0.0544
800,scaled,0.5,1000,0.0136,-0.0030,0.0292,473.3930,0.0098,-0.0083,0.0405,0.0084,0.0523,0.0677,0.0672,0.0517,0.8200,0.4095,0.0672
400,scaled,0.5,1000,0.0140,0.0169,0.0753,200.6335,0.0028,-0.0092,0.0745,0.0406,0.0857,0.1109,0.1084,0.0863,0.6700,0.3277,0.0767
200,scaled,0.5,1000,0.0388,0.0135,0.0952,80.3251,0.0245,-0.0102,0.1104,0.0806,0.1197,0.1242,0.1239,0.1030,0.6020,0.3786,0.0620
100,scaled,1,2000,0.0383,0.0030,0.0947,24.7528,0.0403,-0.0168,0.1182,0.1016,0.1230,0.1477,0.1456,0.1303,0.5000,0.3777,0.0728
800,scaled,1,2000,0.0005,0.0012,0.0093,300.4210,0.0004,-0.0039,0.0163,0.0117,0.0213,0.0196,0.0168,0.0097,0.9900,0.3397,0.0238
400,scaled,1,2000,0.0052,-0.0030,0.0573,218.6185,0.0039,-0.0088,0.0665,0.0406,0.0759,0.0918,0.0827,0.0541,0.7700,0.2953,0.0827
200,scaled,1,2000,0.0214,0.0040,0.0971,88.1601,0.0106,-0.0127,0.1076,0.0688,0.1193,0.1313,0.1284,0.1086,0.5700,0.3457,0.0908
100,scaled,2,4000,0.0368,0.0051,0.0896,23.4869,0.0280,-0.0158,0.1048,0.0925,0.1089,0.1427,0.1357,0.1065,0.5840,0.3597,0.0960
800,scaled,2,4000,0.0004,0.0068,-0.0021,-35.1675,0.0024,-0.0006,0.0015,0.0126,-0.0067,0.0244,0.0180,0.0036,1.0000,0.3361,0.0360
400,scaled,2,4000,0.0036,0.0018,0.0456,151.2165,-0.0009,-0.0053,0.0415,0.0376,0.0439,0.0637,0.0634,0.0414,0.8480,0.3246,0.0897
200,scaled,2,4000,0.0059,0.0069,0.0882,78.7964,-0.0034,-0.0181,0.0935,0.0765,0.1003,0.1222,0.1164,0.0822,0.6420,0.3159,0.1164
100,scaled,4,8000,0.0335,-0.0045,0.0861,24.5409,0.0227,-0.0174,0.0916,0.0905,0.0924,0.1216,0.1213,0.0870,0.6180,0.3505,0.1213
800,scaled,4,8000,-0.0003,0.0021,-0.0120,-1322.6699,0.0002,-0.0020,-0.0074,-0.0153,-0.0053,0.0308,0.0274,0.0078,0.9660,0.3992,0.0775
400,scaled,4,8000,0.0011,-0.0006,0.0275,120.1880,-0.0000,-0.0077,0.0239,0.0622,0.0038,0.0170,0.0169,0.0120,0.9880,0.3142,0.0339
200,scaled,4,8000,0.0056,0.0015,0.0847,78.1394,0.0007,-0.0137,0.0872,0.0839,0.0894,0.0812,0.0816,0.0648,0.7680,0.3232,0.1154
100,fixed,2,4000,0.0154,0.0001,0.0802,42.4212,0.0029,-0.0155,0.0873,0.0667,0.0946,0.0970,0.1034,0.0849,0.7100,0.3424,0.0731
800,fixed,2,4000,0.0055,-0.0059,0.0522,184.1063,0.0068,-0.0121,0.0571,0.0641,0.0580,0.0330,0.0344,0.0199,0.9320,0.3182,0.0687
400,fixed,2,4000,0.0083,0.0005,0.0981,157.5514,0.0005,-0.0129,0.0996,0.0848,0.1071,0.0824,0.0815,0.0666,0.7820,0.3244,0.1152
