step,loss_roll,acc_roll,alW1,alW2,alW3,alAll,alAll_std,cW1,cW2,cW3,bW1,bW2,bW3
200,0.04885,0.660,+0.0551,+0.3173,+0.4385,+0.2703,0.4090,-0.0040,+0.0091,+0.0338,2.202,0.644,0.678
200,0.04957,0.150,+0.3193,+0.6161,+0.7247,+0.5534,0.3690,-0.0032,+0.0007,+0.0153,0.460,0.021,0.108
400,0.04925,0.340,-0.0525,+0.2048,+0.3407,+0.1643,0.3169,+0.0010,+0.0097,+0.0177,0.392,0.837,0.703
400,0.04920,0.870,+0.0859,+0.2950,+0.3646,+0.2485,0.3930,-0.0023,+0.0069,+0.0205,7.889,1.462,1.649
600,0.04912,0.470,-0.0231,+0.1824,+0.2861,+0.1484,0.3244,+0.0000,+0.0123,+0.0190,0.028,2.405,3.212
600,0.04924,0.920,+0.1396,+0.2754,+0.3586,+0.2579,0.4640,-0.0025,+0.0078,+0.0221,2.846,1.561,1.484
800,0.04936,0.500,+0.0032,+0.2120,+0.3069,+0.1740,0.3414,-0.0004,+0.0140,+0.0208,2.145,2.140,1.868
800,0.04928,0.970,+0.1725,+0.2902,+0.3766,+0.2798,0.4740,-0.0025,+0.0077,+0.0237,14.115,1.774,1.194
1000,0.04922,0.560,+0.0225,+0.2222,+0.3112,+0.1853,0.3274,-0.0020,+0.0110,+0.0188,2.382,1.492,1.845
1000,0.04949,0.930,+0.2502,+0.3381,+0.4073,+0.3319,0.4525,-0.0036,+0.0063,+0.0230,20.801,1.042,1.158
